product_name,product_url,product_image
Bánh dẻo hạt sen hạt dưa 0 trứng 230g - 2024,https://banhkinhdo.com.vn/san-pham/banh-deo-hat-sen-hat-dua-0-trung-230g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20302%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Hạt Sen (0 Trứng) 180g - 2025,https://banhkinhdo.com.vn/san-pham/banh-deo-hat-sen-0-trung-180g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20271%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh  dẻo đậu xanh  hạt dưa (0 Trứng) 230g - 2024,https://banhkinhdo.com.vn/san-pham/banh-deo-dau-xanh-hat-dua-0-trung-230g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Đậu Xanh (0 Trứng) 180g - 2025,https://banhkinhdo.com.vn/san-pham/banh-deo-dau-xanh-0-trung-180g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20298%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Dẻo Sầu Riêng Hạt Sen(0 Trứng) _250G,https://banhkinhdo.com.vn/san-pham/deo-sau-rieng-0-trung-2/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Dẻo sầu riêng 180g - 2025,https://banhkinhdo.com.vn/san-pham/deo-sau-rieng-180g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20317%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Quy Bơ Pháp LU 708G TẾT 2025 ( Hộp Thiết),https://banhkinhdo.com.vn/san-pham/banh-cookies-bo-phap-lu-708g-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Quy Bơ Pháp LU 540G TẾT 2025,https://banhkinhdo.com.vn/san-pham/banh-cookies-bo-phap-lu-540g-tet-2023/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Quy Bơ Pháp LU 310G TẾT 2025,https://banhkinhdo.com.vn/san-pham/banh-cookies-bo-phap-lu-310g-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Quy Bơ Pháp LU 180G TẾT 2025,https://banhkinhdo.com.vn/san-pham/banh-cookies-bo-phap-lu-180g-tet-2023/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
BÁNH QUY LU VERITABLE PETIT BEURRE HỘP THIẾC 600G TẾT 2024,https://banhkinhdo.com.vn/san-pham/banh-quy-lu-veritable-petit-beurre-tet-2021/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20230%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Gà Quay Jampon 1 Trứng x150g - 2025,https://banhkinhdo.com.vn/san-pham/ga-quay-jampon-1-trung-x150g-2024/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20300%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Nướng LAVA CHOCO Tan Chảy 0 Trứng 150G - Bánh mới 2025,https://banhkinhdo.com.vn/san-pham/banh-nuong-khoai-mon-0-trung-150g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20221%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
Bánh Nướng TUYẾT VỊ CAM YUZU 150G - Bánh mới 2025,https://banhkinhdo.com.vn/san-pham/banh-nuong-dau-xanh-1-2-trung-130g-2022/,"data:image/svg+xml,%3Csvg%20viewBox%3D%220%200%20300%20274%22%20xmlns%3D%22http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg%22%3E%3C%2Fsvg%3E"
